model,mAP50,mAP50-95,precision,recall,f1
faster_rcnn,0.8810799135796501,0.59267691197296,0.7778323430093645,0.878364274897049,0.8239708103982264
ssd,0.6243941928888788,0.3548279899927176,0.8974413309566364,0.40367926952891203,0.532373059355831
retinanet,0.770953067542454,0.49097711842863084,0.820673618069843,0.6731424893147478,0.7321898303199976
detr,0.5989956119454081,0.2944505653551453,0.41943980187688584,0.6952609902722585,0.5180198016446937
yolo,0.8565459806492933,0.6145315919479101,0.9347171219755679,0.7404390381750967,0.821763985033298
